trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.1, 'e': 0.32479628443877623}",25,17,-27.18073934688624,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.1, 'e': 0.3153223623952687}",25,15,6.575787526088604,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.30581690837828934}",25,0,-144.60565527082272,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 4}",0
127,False,"{'a': 0.1, 'e': 0.29628087292531874}",30,2,7.761811870617951,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.2867152096319555}",25,16,15.022426100536205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.2771208750565576}",25,0,20.717081859800484,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.1, 'e': 0.26749882862458735}",30,15,-69.19546821312869,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
131,False,"{'a': 0.1, 'e': 0.25785003253266964}",25,16,17.015594379567013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.2481754516523729}",20,0,-27.647139032690635,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.23847605343372313}",30,13,24.183204459494597,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.22875280780845939}",35,21,-37.999409867972496,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.1, 'e': 0.2190066870930415}",25,16,-2.8882922585935473,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.20923866589141926}",25,8,18.991046684155705,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.19944972099757285}",25,16,12.461052647769383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.18964083129783424}",25,13,9.638264614583504,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.17981297767299936}",20,6,13.467833159581605,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.16996714290024081}",25,1,33.3220839160076,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.16010431155483126}",20,0,11.422579171044163,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.15022546991168584}",20,12,0.9482253454606606,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.14033160584673673}",20,13,12.083135840769891,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.13042370873814554}",20,0,30.298639847802963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.12050276936736662}",20,10,21.226753005334437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.11056977982006959}",20,7,21.124357470302364,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.10062573338693173}",25,11,26.318795031553336,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
